Query,Assessment_Name,Assessment_URL,Remote_Testing_Support,Adaptive_IRT_Support,Duration,Test_Type,Description,Skills
"I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.","Automata - Fix (New) | SHL","https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/","Yes","Yes","40 minutes","Technical","Automata - Fix (New) | SHL","Java, Collaboration"
"I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.","Core Java (Entry Level) (New) | SHL","https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/","Yes","Yes","40 minutes","Technical","Core Java (Entry Level) (New) | SHL","Java, Entry Level"
"I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.","Java 8 (New) | SHL","https://www.shl.com/solutions/products/product-catalog/view/java-8-new/","Yes","Yes","40 minutes","Technical","Java 8 (New) | SHL","Java, Java 8"
"I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.","Core Java (Advanced Level) (New) | SHL","https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/","Yes","Yes","40 minutes","Technical","Core Java (Advanced Level) (New) | SHL","Java, Advanced"
"I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.","Agile Software Development | SHL","https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/","Yes","Yes","40 minutes","Technical","Agile Software Development | SHL","Agile, Software Development"
"I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.","Technology Professional 8.0 Job Focused Assessment | SHL","https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/","Yes","Yes","40 minutes","Technical","Technology Professional 8.0 Job Focused Assessment | SHL","Technology, Professional"
"I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.","Computer Science (New) | SHL","https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/","Yes","Yes","40 minutes","Technical","Computer Science (New) | SHL","Computer Science"
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options","Entry level Sales 7.1 (International) | SHL","https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/","Yes","Yes","60 minutes","Sales","Entry level Sales 7.1 (International) | SHL","Sales, Entry Level"
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options","Entry Level Sales Sift Out 7.1 | SHL","https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/","Yes","Yes","60 minutes","Sales","Entry Level Sales Sift Out 7.1 | SHL","Sales, Entry Level"
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options","Entry Level Sales Solution | SHL","https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/","Yes","Yes","60 minutes","Sales","Entry Level Sales Solution | SHL","Sales, Entry Level"
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options","Sales Representative Solution | SHL","https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/","Yes","Yes","60 minutes","Sales","Sales Representative Solution | SHL","Sales, Representative"
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options","Sales Support Specialist Solution | SHL","https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/","Yes","Yes","60 minutes","Sales","Sales Support Specialist Solution | SHL","Sales, Support"
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options","Technical Sales Associate Solution | SHL","https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/","Yes","Yes","60 minutes","Sales","Technical Sales Associate Solution | SHL","Sales, Technical"
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options","SVAR - Spoken English (Indian Accent) (New) | SHL","https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/","Yes","Yes","60 minutes","Language","SVAR - Spoken English (Indian Accent) (New) | SHL","English, Communication"
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options","Sales & Service Phone Solution | SHL","https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-solution/","Yes","Yes","60 minutes","Sales","Sales & Service Phone Solution | SHL","Sales, Service"
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options","Sales & Service Phone Simulation | SHL","https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-simulation/","Yes","Yes","60 minutes","Sales","Sales & Service Phone Simulation | SHL","Sales, Service"
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options","English Comprehension (New) | SHL","https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/","Yes","Yes","60 minutes","Language","English Comprehension (New) | SHL","English, Communication"
"I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour","Motivation Questionnaire MQM5 | SHL","https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/","Yes","Yes","60 minutes","Personality","Motivation Questionnaire MQM5 | SHL","Motivation, Personality"
"I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour","Global Skills Assessment | SHL","https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/","Yes","Yes","60 minutes","Leadership","Global Skills Assessment | SHL","Global, Leadership"
"I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete in about an hour","Graduate 8.0 Job Focused Assessment | SHL","https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/","Yes","Yes","60 minutes","Leadership","Graduate 8.0 Job Focused Assessment | SHL","Graduate, Leadership"
"Content Writer required, expert in English and SEO.","Drupal (New) | SHL","https://www.shl.com/solutions/products/product-catalog/view/drupal-new/","Yes","Yes","60 minutes","Technical","Drupal (New) | SHL","Drupal, Content Management"
"Content Writer required, expert in English and SEO.","Search Engine Optimization (New) | SHL","https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/","Yes","Yes","60 minutes","Technical","Search Engine Optimization (New) | SHL","SEO, Digital Marketing"
"Content Writer required, expert in English and SEO.","Administrative Professional - Short Form | SHL","https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/","Yes","Yes","60 minutes","Administrative","Administrative Professional - Short Form | SHL","Administrative, Professional"
"Content Writer required, expert in English and SEO.","Entry Level Sales Sift Out 7.1 | SHL","https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/","Yes","Yes","60 minutes","Sales","Entry Level Sales Sift Out 7.1 | SHL","Sales, Entry Level"
"Content Writer required, expert in English and SEO.","General Entry Level – Data Entry 7.0 Solution | SHL","https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/","Yes","Yes","60 minutes","Administrative","General Entry Level – Data Entry 7.0 Solution | SHL","Data Entry, Entry Level"
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long","Administrative Professional - Short Form | SHL","https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/","Yes","Yes","40 minutes","Administrative","Administrative Professional - Short Form | SHL","Administrative, Professional"
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long","Verify - Numerical Ability | SHL","https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/","Yes","Yes","40 minutes","Numerical","Verify - Numerical Ability | SHL","Numerical, Ability"
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long","Financial Professional - Short Form | SHL","https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/","Yes","Yes","40 minutes","Financial","Financial Professional - Short Form | SHL","Financial, Professional"
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long","Bank Administrative Assistant - Short Form | SHL","https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/","Yes","Yes","40 minutes","Administrative","Bank Administrative Assistant - Short Form | SHL","Bank, Administrative"
